vehicle_id,timestamp,latitude,longitude,speed_m_s,CO,NOx,PM2.5,CO2
DL1PD5776,2025-10-16T19:49:36+05:30,28.569195,77.192719,0.0,0.0,0.0,0.0,0.0
DL1PD5969,2025-10-16T19:49:36+05:30,28.55728,77.090996,0.0,0.0,0.0,0.0,0.0
DL1PD4719,2025-10-16T19:49:36+05:30,28.682087,77.053772,0.0,0.0,0.0,0.0,0.0
DL1PD4509,2025-10-16T19:49:36+05:30,28.569639,77.163483,0.0,0.0,0.0,0.0,0.0
DL1PD5315,2025-10-16T19:49:37+05:30,28.635014,77.061943,0.0,0.0,0.0,0.0,0.0
DL1PD5697,2025-10-16T19:49:37+05:30,28.605585,77.170837,0.0,0.0,0.0,0.0,0.0
DL51GD4340,2025-10-16T19:49:38+05:30,28.726252,77.162422,0.0,0.0,0.0,0.0,0.0
DL1PD6173,2025-10-16T19:49:38+05:30,28.682217,77.056793,0.0,0.0,0.0,0.0,0.0
DL1PD5887,2025-10-16T19:49:39+05:30,28.623823,77.0681,0.0,0.0,0.0,0.0,0.0
DL1PD4506,2025-10-16T19:49:39+05:30,28.623211,77.101112,0.0,0.0,0.0,0.0,0.0
DL1PD4572,2025-10-16T19:49:39+05:30,28.708593,77.177277,0.0,0.0,0.0,0.0,0.0
DL1PD6177,2025-10-16T19:49:39+05:30,28.682274,77.053146,0.0,0.0,0.0,0.0,0.0
DL1PD4795,2025-10-16T19:49:39+05:30,28.694984,77.215164,0.0,0.0,0.0,0.0,0.0
DL1PD4778,2025-10-16T19:49:39+05:30,28.626068,77.065666,0.0,0.0,0.0,0.0,0.0
DL1PD6128,2025-10-16T19:49:40+05:30,28.625923,77.068573,0.0,0.0,0.0,0.0,0.0
DL51GD5769,2025-10-16T19:49:40+05:30,28.734922,77.155693,0.0,0.0,0.0,0.0,0.0
DL1PD5403,2025-10-16T19:49:40+05:30,28.642775,77.180153,0.0,0.0,0.0,0.0,0.0
DL1PD5264,2025-10-16T19:49:40+05:30,28.623734,77.068138,0.0,0.0,0.0,0.0,0.0
DL1PD6042,2025-10-16T19:49:40+05:30,28.737495,77.165718,0.0,0.0,0.0,0.0,0.0
DL51GD4182,2025-10-16T19:49:41+05:30,28.724529,77.179779,0.0,0.0,0.0,0.0,0.0
DL1PD4848,2025-10-16T19:49:41+05:30,28.703274,77.076187,0.0,0.0,0.0,0.0,0.0
DL1PD4936,2025-10-16T19:49:42+05:30,28.682167,77.054077,0.0,0.0,0.0,0.0,0.0
DL1PD5132,2025-10-16T19:49:42+05:30,28.611334,77.112724,0.0,0.0,0.0,0.0,0.0
DL1PD4667,2025-10-16T19:49:43+05:30,28.521914,77.082314,0.0,0.0,0.0,0.0,0.0
DL1PD5292,2025-10-16T19:49:43+05:30,28.682299,77.053513,0.0,0.0,0.0,0.0,0.0
DL1PD5920,2025-10-16T19:49:44+05:30,28.625439,77.065651,0.0,0.0,0.0,0.0,0.0
DL1PD4776,2025-10-16T19:49:44+05:30,28.548513,77.256073,0.0,0.0,0.0,0.0,0.0
DL1PD7160,2025-10-16T19:49:45+05:30,28.636875,77.31443,0.0,0.0,0.0,0.0,0.0
DL1PD5339,2025-10-16T19:49:45+05:30,28.590456,77.086632,0.0,0.0,0.0,0.0,0.0
DL1PD6108,2025-10-16T19:49:45+05:30,28.612965,77.104797,0.0,0.0,0.0,0.0,0.0
DL1PD5935,2025-10-16T19:49:45+05:30,28.625523,77.238426,0.0,0.0,0.0,0.0,0.0
DL1PD6393,2025-10-16T19:49:46+05:30,28.682507,77.054047,0.0,0.0,0.0,0.0,0.0
DL1PD5885,2025-10-16T19:49:47+05:30,28.707998,77.227409,0.0,0.0,0.0,0.0,0.0
DL1PD5476,2025-10-16T19:49:47+05:30,28.575823,77.059937,0.0,0.0,0.0,0.0,0.0
DL1PD4856,2025-10-16T19:49:47+05:30,28.531713,77.084557,0.0,0.0,0.0,0.0,0.0
DL1PD6134,2025-10-16T19:49:47+05:30,28.757116,77.067917,0.0,0.0,0.0,0.0,0.0
DL1PD5004,2025-10-16T19:49:48+05:30,28.786663,77.140625,0.0,0.0,0.0,0.0,0.0
DL1PD4224,2025-10-16T19:49:48+05:30,28.569969,77.199028,0.0,0.0,0.0,0.0,0.0
DL1PD4302,2025-10-16T19:49:48+05:30,28.637589,77.174744,0.0,0.0,0.0,0.0,0.0
DL1PD5988,2025-10-16T19:49:48+05:30,28.566113,77.252129,0.0,0.0,0.0,0.0,0.0
DL1PD5410,2025-10-16T19:49:49+05:30,28.703377,77.075462,0.0,0.0,0.0,0.0,0.0
DL1PD5051,2025-10-16T19:49:49+05:30,28.577288,77.05809,0.0,0.0,0.0,0.0,0.0
DL1PD5321,2025-10-16T19:49:49+05:30,28.726124,77.127251,0.0,0.0,0.0,0.0,0.0
DL1PD6154,2025-10-16T19:49:50+05:30,28.6257,77.065666,0.0,0.0,0.0,0.0,0.0
DL1PD4922,2025-10-16T19:49:50+05:30,28.590675,77.168541,0.0,0.0,0.0,0.0,0.0
DL1PD4532,2025-10-16T19:49:51+05:30,28.590414,77.168495,0.0,0.0,0.0,0.0,0.0
DL1PD5096,2025-10-16T19:49:51+05:30,28.699631,77.034195,0.0,0.0,0.0,0.0,0.0
DL1PD5962,2025-10-16T19:49:52+05:30,28.552578,77.26461,0.0,0.0,0.0,0.0,0.0
DL1PD5902,2025-10-16T19:49:52+05:30,28.682287,77.056587,0.0,0.0,0.0,0.0,0.0
DL1PD4718,2025-10-16T19:49:52+05:30,28.591337,77.167938,0.0,0.0,0.0,0.0,0.0
DL1PD5674,2025-10-16T19:49:52+05:30,28.730766,77.093529,0.0,0.0,0.0,0.0,0.0
DL1PD4281,2025-10-16T19:49:52+05:30,28.552877,77.299736,0.0,0.0,0.0,0.0,0.0
DL1PD4994,2025-10-16T19:49:52+05:30,28.61125,77.091583,0.0,0.0,0.0,0.0,0.0
DL1PD6417,2025-10-16T19:49:53+05:30,28.640598,77.011124,0.0,0.0,0.0,0.0,0.0
DL1PD5899,2025-10-16T19:49:53+05:30,28.682308,77.054359,0.0,0.0,0.0,0.0,0.0
DL1PD6309,2025-10-16T19:49:53+05:30,28.720152,77.067505,0.0,0.0,0.0,0.0,0.0
DL1PD4325,2025-10-16T19:49:53+05:30,28.590885,77.168243,0.0,0.0,0.0,0.0,0.0
DL1PD5856,2025-10-16T19:49:53+05:30,28.682417,77.039093,0.0,0.0,0.0,0.0,0.0
DL1PD6172,2025-10-16T19:49:54+05:30,28.58791,77.259308,0.0,0.0,0.0,0.0,0.0
DL1PD4430,2025-10-16T19:49:54+05:30,28.717484,77.063477,0.0,0.0,0.0,0.0,0.0
DL1PD6043,2025-10-16T19:49:54+05:30,28.599714,77.081795,0.0,0.0,0.0,0.0,0.0
DL1PD5129,2025-10-16T19:49:54+05:30,28.569262,77.192123,0.0,0.0,0.0,0.0,0.0
DL1PD4253,2025-10-16T19:49:56+05:30,28.707401,77.126114,0.0,0.0,0.0,0.0,0.0
DL1PD4756,2025-10-16T19:49:56+05:30,28.709085,77.227081,0.0,0.0,0.0,0.0,0.0
DL1PD4904,2025-10-16T19:49:57+05:30,28.792223,77.143822,0.0,0.0,0.0,0.0,0.0
DL1PD4646,2025-10-16T19:49:57+05:30,28.571735,77.121536,0.0,0.0,0.0,0.0,0.0
DL1PD4665,2025-10-16T19:49:57+05:30,28.60886,77.101448,0.0,0.0,0.0,0.0,0.0
DL1PD4453,2025-10-16T19:49:57+05:30,28.625433,77.066086,0.0,0.0,0.0,0.0,0.0
DL1PD5231,2025-10-16T19:49:57+05:30,28.521305,77.082191,0.0,0.0,0.0,0.0,0.0
